student_id,gender,department,total_amount,txn_count,avg_amount,median_amount,amount_std,active_days,merchant_count,amount_cv,avg_daily_amount_window,avg_daily_txn_window,avg_active_day_amount,txn_per_active_day,meal_amount_breakfast_share,meal_amount_lunch_share,meal_amount_dinner_share,meal_amount_late_night_share,pay_amount_scan_pay_share,pay_amount_e_account_share,pay_amount_card_share,merchant_amount_staple_share,merchant_amount_dish_share,merchant_amount_fruit_share,merchant_amount_other_share,weekend_amount_share,month_start_amount_share,month_end_amount_share,merchant_entropy_norm,monthly_amount_mean,monthly_amount_std,log_total_amount,log_txn_count,log_merchant_count,cluster,cluster_name
S0001,男,光电信息科学与工程,1901.5,495,3.8414141414141416,2.2,3.422011687305981,93,6,0.8908208178892771,13.582142857142857,3.5357142857142856,20.446236559139784,5.32258064516129,0.00236655272153563,0.5003944254535893,0.4972390218248751,0.0,1.0,0.0,0.0,0.1450433867998948,0.842019458322377,0.01293715487772811,0.0,0.28945569287404677,0.3840652116749934,0.29608204049434655,0.6829637350207921,380.3,318.37612975849805,7.550924089735841,6.206575926724928,1.9459101490553132,1,类1-高消费
S0002,男,光电信息科学与工程,390.1,93,4.194623655913979,4.0,2.6536015555318904,32,9,0.6326196992167797,2.7864285714285715,0.6642857142857143,12.190625,2.90625,0.42809536016406047,0.5078185080748525,0.06408613176108689,0.0,1.0,0.0,0.0,0.41066393232504483,0.4355293514483466,0.15380671622660855,0.0,0.3419635990771597,0.3593950269161753,0.20610099974365548,0.7987530853511405,78.02000000000001,73.16546726427708,5.968963281761469,4.543294782270004,2.302585092994046,2,类2-中消费
S0003,男,光电信息科学与工程,1438.1,347,4.144380403458213,5.0,2.683247397233316,73,5,0.647442352298144,10.272142857142857,2.4785714285714286,19.7,4.7534246575342465,0.3478200403309923,0.6521799596690078,0.0,0.0,0.8228913149294208,0.17710868507057922,0.0,0.366386204019192,0.6141436617759545,0.019470134204853627,0.0,0.2739030665461373,0.3615882066615674,0.23962172310687715,0.5366837663010937,287.62,293.3173598681129,7.2717731971761275,5.8522024797744745,1.791759469228055,1,类1-高消费
S0004,男,应用物理学,59.199999999999996,12,4.933333333333333,6.199999999999999,3.3109551858072983,2,3,0.6711395646906687,0.4228571428571428,0.08571428571428572,29.599999999999998,6.0,0.0,0.5202702702702703,0.4797297297297297,0.0,1.0,0.0,0.0,0.04054054054054054,0.9594594594594594,0.0,0.0,1.0,0.4797297297297297,0.0,0.7590012499919885,11.84,23.679999999999996,4.097672352314775,2.5649493574615367,1.3862943611198906,2,类2-中消费
S0005,男,应用物理学,45.6,12,3.8000000000000003,4.0,2.086319072607848,6,2,0.5490313348968021,0.32571428571428573,0.08571428571428572,7.6000000000000005,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8442982456140351,0.0,0.1557017543859649,0.0,0.44078947368421056,1.0,0.0,0.6239268997261365,9.120000000000001,18.240000000000002,3.8416005411316,2.5649493574615367,1.0986122886681098,0,类3-低消费
S0006,男,应用物理学,846.7,208,4.070673076923077,3.0,3.305252083006455,58,6,0.8119669697240376,6.0478571428571435,1.4857142857142858,14.598275862068967,3.586206896551724,0.2255816700129916,0.4723042399905515,0.30211408999645684,0.0,0.0,0.9982284162040864,0.0017715837959135466,0.2993976615093894,0.6897366245423409,0.010865713948269752,0.0,0.2561710168890988,0.38880359040982637,0.1553088461084209,0.6851230495724504,169.33999999999997,171.12793576736675,6.74252679961436,5.342334251964811,1.9459101490553132,1,类1-高消费
S0007,男,光电信息科学与工程,1627.5,389,4.183804627249358,3.7,3.8374000437472935,76,6,0.9172034513165573,11.625,2.7785714285714285,21.414473684210527,5.118421052631579,0.004301075268817204,0.6518586789554532,0.34384024577572964,0.0,1.0,0.0,0.0,0.09081413210445469,0.8654992319508448,0.04368663594470046,0.0,0.3262672811059908,0.3478341013824885,0.31477726574500764,0.6765018950218972,325.5,331.02610168988184,7.395414624716288,5.966146739123692,1.9459101490553132,1,类1-高消费
S0008,男,光电信息科学与工程,1121.1,334,3.3565868263473053,3.0,2.6394219206146508,89,6,0.7863410235351828,8.007857142857143,2.3857142857142857,12.596629213483146,3.752808988764045,0.25778253501025783,0.41682276335741686,0.3253947016323254,0.0,0.3158505039693159,0.6841494960306842,0.0,0.2767817322272768,0.5647132280795648,0.15850503969315852,0.0,0.25153866738025155,0.428953706181429,0.2502006957452502,0.7973349807276195,224.21999999999997,100.05365360645258,7.02295720867082,5.814130531825066,1.9459101490553132,1,类1-高消费
S0009,男,光电信息科学与工程,1110.4,291,3.8158075601374573,3.0,3.462731274598215,60,5,0.9074701016823492,7.931428571428572,2.0785714285714287,18.506666666666668,4.85,0.17516210374639768,0.8248378962536023,0.0,0.0,0.9086815561959654,0.09131844380403457,0.0,0.145443083573487,0.7852125360230546,0.06934438040345821,0.0,0.27422550432276654,0.3795028818443804,0.21271613832853026,0.5054759124344862,222.07999999999998,271.0935882679633,7.013375760845821,5.676753802268282,1.791759469228055,1,类1-高消费
S0010,男,数学与应用数学,377.3,68,5.548529411764706,6.0,3.666121324545358,28,4,0.6607374769920072,2.6950000000000003,0.4857142857142857,13.475,2.4285714285714284,0.31274847601378214,0.6739994699178373,0.013252054068380599,0.0,0.03445534057778955,0.9655446594222105,0.0,0.45003975616220515,0.5499602438377948,0.0,0.0,0.12748476013782137,0.243837794858203,0.22263450834879406,0.8213533320688272,75.46,72.11118082516747,5.935687531638983,4.23410650459726,1.6094379124341003,2,类2-中消费
S0011,男,信息与计算科学,170.8,50,3.4160000000000004,3.5,2.7175439091133713,11,3,0.7955339312392772,1.22,0.35714285714285715,15.52727272727273,4.545454545454546,0.5620608899297423,0.11709601873536299,0.3208430913348946,0.0,0.0702576112412178,0.9297423887587822,0.0,0.9414519906323185,0.058548009367681494,0.0,0.0,0.19320843091334894,0.509367681498829,0.2271662763466042,0.2298039936308262,34.160000000000004,68.32000000000002,5.146331009550155,3.9318256327243257,1.3862943611198906,0,类3-低消费
